year,area,production
2013,2070.0,1680
2012,12483.0,23222
2014,595.0,417
2000,7338.0,6111
2005,78285.0,68262
2001,156420.0,127817
1997,897921.0,1214282
2003,83666.0,68975
1997,279292.0,154772
2018,63710.0,126270
2003,2789.0,2758
2015,54.0,21
2001,71525.0,67833
2000,7249.0,17586
2002,85.0,41
2001,362868.0,148046
1999,4991.0,3702
2007,307084.0,26028309
2016,82772.0,40424
1999,7606.0,44710
2006,10941.0,7023
2012,6992.0,84613
2017,38902.0,21556
2011,5856.0,4569
1997,2674.0,7
1999,407156.0,289222
2012,760.0,640
2006,8170.0,16856
1999,74.0,117
2004,23780.0,129494
2006,848800.0,66277400
2016,337711.0,362858
2017,2690.0,2497
2014,2470.0,6820
2009,1677.0,1097
2001,12794.0,22031
2000,243070.0,547520
2004,5934405.0,10749989
2012,540424.0,960007
2003,8349.0,2056
2018,2561.0,14514
2005,7795.0,2857
2010,740.0,1529
2012,265000.0,698100
2009,1295.0,15410
2019,188588.0,60914
2002,520.0,311
2006,64474.0,64166
2018,217336.0,203522
2018,327080.0,628340
2008,121.0,48
2000,394083.0,8398200
2019,22722.0,8999
2013,105.0,315
2017,340.0,330
2009,2540.0,27050
2018,19621.0,67607
2008,903.0,9863
2019,3410.0,7664
2019,32.0,77
2014,10021.0,153311
2019,141100.0,250093
2004,2500.0,4000
2013,2218.0,3889
2016,13503.0,11534
2011,14499.0,884716
2007,3700.0,1300
2012,1320.0,11230
1997,2095.0,1340
2000,452.0,2300
2016,8.0,3
2015,92908.0,44306
2018,3345.0,53748
2015,56609.0,17549
2019,74.0,623
2007,2100.0,1840
2008,33638.0,78705
2015,114331.0,184409
2014,8318.0,7960
2007,15884.0,3232
2002,18045.15,30067
2009,121468.0,215842
2019,17041.0,11694
2015,81302.0,200983
2005,2777.0,13261
1998,22325.0,1469529
2012,438.0,1406
2014,12394.0,39004
2015,10.0,7
2007,211640.0,172805
2002,104286.0,140169
2017,5890.0,11030
2018,877414.0,771339
2009,1000.0,920
2007,433.0,93
2014,2706.0,2143
1997,11000.0,6000
2012,591.0,222
2012,659742.0,467109
1997,131400.0,83700
2010,124600.0,73000
2010,697685.0,201457
2018,1279500.0,4615344
2000,474000.0,1199000
2016,41279.0,33776
2014,438067.0,235142
2013,12000.0,46000
2000,13340.0,6188
2010,2231.0,1695
2009,20100.0,30200
2003,251048.0,64646
2010,2857.0,4176
2000,152.0,39
1999,427155.0,827970
2018,360.0,320
2011,2066.0,1030
2011,158.0,109
2002,9564.0,61104
2019,12.0,4
2008,5625.0,12378
2019,290.0,325
2001,8710.0,10485
2008,1.0,1
2015,5272.0,3338
2014,1451.0,1550
2009,60262.0,47464
2006,320.0,280
2000,29822.0,265887
2018,3293.0,42643
2001,34665.0,28701
2011,32.0,16
2010,1083.0,2564
2011,31247.0,78770
2004,43416.0,28979
2011,239900.0,273300
2011,19.0,43
2011,478657.0,144679
2010,2024.0,2790
2017,30634.0,81726
2017,47591.0,50314
2016,12481.0,10194
2000,9239311.0,25168332
2010,18078.0,104669
2003,87.0,29
2015,105450.0,148705
2008,1220.0,233
2000,466911.0,76938
2010,283.0,87
2003,1792.0,1833
2018,53.0,41
2017,1690.0,464
2002,479801.0,251857
2012,400.0,500
2010,2109.0,562
1999,115803.0,183765
2000,317473.0,34062855
2006,1491300.0,2488600
2016,5.0,1
2000,2700.0,442
2000,12060.0,23840
2016,837081.0,799743
2002,6028.0,5400
2000,2817.0,7854
2007,1134.0,6282
2013,259.0,139
1998,1100.0,5750
2010,2472.0,23054
2001,2063.0,16832
1998,157000.0,159100
2000,62905.0,28929
2007,113162.0,47902
2015,25818.0,129400000
2013,6145.0,1551
2009,2326.0,2727
2002,2926.0,4649
2019,45487.0,32575
2006,2914.72,16719
2007,1646992.0,2238765
2011,41700.0,22750
2004,118220.0,79661
2009,2098.0,24895
2014,57641.0,26921
2016,28751.0,23234
2012,65300.0,18650
2003,15425.0,11399
2014,51093.0,278224
2002,28050.0,5545
2019,262135.0,133845
2009,30731.0,28876
1998,196002.0,309644
2018,1433.0,2253
2007,200.0,100
2004,54200.0,16700
2013,8768.0,5120
2018,9879.0,9242
2010,1100.0,739
2004,1045.0,1555
2003,1438.0,664
2005,41341.0,9837
2014,249.0,268
2002,37.0,38
2006,159.0,777
1997,105170.0,150101
2002,1800.0,500
2018,3.0,24
2016,4970.0,3023
2013,933073.0,1366639
2000,993.0,276
2015,1852.0,20430
1997,120020.0,129505
2001,68733.0,80097
2014,849093.0,1248966
2013,83000.0,72000
2015,248690.0,460920
2011,16990.0,599932
2004,14432.0,28358
2009,109163.0,118923
2004,2790.0,2967
2014,30117.0,126424
2014,1125.0,807
2001,8468.0,4733
2011,4673.0,92207
2005,27566.0,23695
2018,941981.0,2321558
2011,4164.0,13701
2002,5133.0,25429
2007,894.0,541
2015,881.0,407
2007,322889.0,731851
2006,335.0,168
2007,524.0,452
2012,47063.0,763234
2009,6322.0,11751
2011,895600.0,1341700
2000,340.0,200
2017,259.0,198
2007,13034.0,21134
2019,5161.0,3511
2009,5040.0,57159
2002,51700.0,34400
2002,2109301.0,5054013
2008,3223900.0,2367200
2013,10935.0,53920
2019,66846.0,44876
2013,662625.0,671716
2019,27479.56,438393
2008,55800.0,1171400
2006,136000.0,123000
2003,566876.0,134187
2005,721.0,475
2014,1427500.0,1087700
2004,14316.0,9918
2016,79.0,147
2015,280811.0,708527
2010,189.0,206
2012,136100.0,133100
2018,572383.0,727945
2003,4198619.0,4643673
2009,3658.0,2402
2014,1908.0,1895
2009,101400.0,267200
2018,6427.0,2526
2016,850.0,572
2007,3752.0,20560
2017,8486.0,4725
2003,9700.0,9000
2007,3720.0,6998
2018,6019.0,1657
2008,726189.0,396958
2014,276500.0,92300
2019,221102.0,191433
2005,3989.0,20841
2012,5057.0,14294
2018,410.0,6626
2000,10591.0,5410
2005,26660.0,32000
2019,3136.0,3088
2005,3276.0,4486
2019,78051.0,165535
2014,26407.0,38842
2017,2441.0,598
2009,18429.0,128117
1997,13.0,6
1998,35000.0,48000
2013,1500.0,1652
2009,42096.0,137000
2000,4635.0,21358
2009,1012.0,1100
2003,1318.0,429
2008,2413.0,2264
